id;nombre;apellido;identificacion
1;plus eyeliner suburban;pace;halt beside wilted
2;yesterday venture;thongs;aw eventually
3;fatally courageously;oof personalise too;numb zowie
4;to appreciate turbulent;circa beneath;throughout bungalow on
5;sign if;underneath;creaking
6;beside cork;term creak duh;oddly incidentally like
7;nearly so;meanwhile wallaby;unexpectedly barring less
8;display;big large;ew
9;spotless pish sheepishly;across case;flint up whoever
10;interestingly rot;worth greedily whose;ravage yum geez
